Alabama ,Richard Shelby ,Republican[2] ," (1934-05-06) May 6, 1934 (age 87) ",Lawyer ,U.S. House;Alabama Senate ,"January 3, 1987 ",2022,Tuscaloosa[3] ,Male
Alabama ,Tommy Tuberville ,Republican ," (1954-09-18) September 18, 1954 (age 66) ","College football coach;Partner, investment management firm ",None ,"January 3, 2021 ",2026,Auburn ,Male
Alaska ,Lisa Murkowski ,Republican ," (1957-05-22) May 22, 1957 (age 63) ",Lawyer ,Alaska House of Representatives ,"December 20, 2002[d] ",2022,Girdwood[4] ,Female
Alaska ,Dan Sullivan ,Republican ," (1964-11-13) November 13, 1964 (age 56) ",U.S. Marine Corps officer;Lawyer;Assistant Secretary of State for Economic and Business Affairs ,Alaska Attorney General ,"January 3, 2015 ",2026,Anchorage[5] ,Male
Arizona ,Kyrsten Sinema ,Democratic ," (1976-07-12) July 12, 1976 (age 44) ",Social worker;Political activist;Lawyer;College professor ,U.S. House;Arizona Senate;Arizona House of Representatives ,"January 3, 2019 ",2024,Phoenix[6] ,Female
Arizona ,Mark Kelly ,Democratic ," (1964-02-21) February 21, 1964 (age 57) ","U.S. Navy officer;NASA Astronaut;Founder, Americans for Responsible Solutions non-profit organization ",None ,"December 2, 2020[e] ",2022,Tucson ,Male
Arkansas ,John Boozman ,Republican ," (1950-12-10) December 10, 1950 (age 70) ",Optometrist ,U.S. House;Rogers Public Schools Board ,"January 3, 2011 ",2022,Rogers[9] ,Male
Arkansas ,Tom Cotton ,Republican ," (1977-05-13) May 13, 1977 (age 44) ",Lawyer;United States Army officer ,U.S. House ,"January 3, 2015 ",2026,Dardanelle[9] ,Male
California ,Dianne Feinstein ,Democratic ," (1933-06-22) June 22, 1933 (age 87) ","Non-profit organization fellow;Member, California Women's Parole Board ",Mayor of San Francisco;San Francisco Board of Supervisors; ,"November 10, 1992[f] ",2024,San Francisco[10] ,Female
California ,Alex Padilla ,Democratic ," (1973-03-22) March 22, 1973 (age 48) ",Engineer ,Secretary of State of California;California Senate;Los Angeles City Council President ,"January 20, 2021[g] ",2022,Los Angeles[11] ,Male
Colorado ,Michael Bennet ,Democratic ," (1964-11-28) November 28, 1964 (age 56) ",Lawyer;Investment company executive;Denver Public Schools Superintendent;Chief of staff to the Mayor of Denver ,None ,"January 21, 2009[h] ",2022,Denver[12] ,Male
Colorado ,John Hickenlooper ,Democratic ," (1952-02-07) February 7, 1952 (age 69) ",Geologist;Businessman ,Governor of Colorado;Mayor of Denver ,"January 3, 2021 ",2026,Denver[12] ,Male
Connecticut ,Richard Blumenthal ,Democratic ," (1946-02-13) February 13, 1946 (age 75) ",Marine Corps Reserve Sergeant;Senate staffer;Lawyer;U.S. Attorney ,Connecticut Attorney General;Connecticut Senate;Connecticut House of Representatives ,"January 3, 2011 ",2022,Greenwich[13] ,Male
Connecticut ,Chris Murphy ,Democratic ," (1973-08-03) August 3, 1973 (age 47) ",Lawyer;Political campaign manager ,U.S. House;Connecticut Senate;Connecticut House of Representatives ,"January 3, 2013 ",2024,Cheshire[13] ,Male
Delaware ,Tom Carper ,Democratic ," (1947-01-23) January 23, 1947 (age 74) ","U.S. Navy officer;Staff, Delaware Office of Economic Development ",Governor of Delaware;U.S. House;Delaware Treasurer ,"January 3, 2001 ",2024,Wilmington[14] ,Male
Delaware ,Chris Coons ,Democratic ," (1963-09-09) September 9, 1963 (age 57) ",Nonprofit organization executive;Lawyer ,"New Castle County, Delaware County Executive;Member, New Castle County Council ","November 15, 2010[i] ",2026,Wilmington[14] ,Male
Florida ,Marco Rubio ,Republican ," (1971-05-28) May 28, 1971 (age 49) ",Lawyer ,Florida House Speaker;West Miami City Commission ,"January 3, 2011 ",2022,Miami ,Male
Florida ,Rick Scott ,Republican ," (1952-12-01) December 1, 1952 (age 68) ","Petty officer third class, U.S. Navy;Lawyer;Columbia/HCA CEO;Venture capitalist ",Governor of Florida ,"January 8, 2019[j] ",2024,Naples[15] ,Male
Georgia ,Jon Ossoff ,Democratic ," (1987-02-16) February 16, 1987 (age 34) ",Investigative journalist;Documentary film producer;U.S. House staffer ,None ,"January 20, 2021 ",2026,Atlanta ,Male
Georgia ,Raphael Warnock ,Democratic ," (1969-07-23) July 23, 1969 (age 51) ",Pastor ,None ,"January 20, 2021[k] ",2022,Atlanta[16] ,Male
Hawaii ,Brian Schatz ,Democratic ," (1972-10-20) October 20, 1972 (age 48) ",Teacher;Nonprofit organization executive ,Lieutenant Governor of Hawaii;Hawaii House of Representatives ,"December 26, 2012[l] ",2022,Honolulu[17] ,Male
Hawaii ,Mazie Hirono ,Democratic ," (1947-11-03) November 3, 1947 (age 73) ",Lawyer ,U.S. House;Lieutenant Governor of Hawaii;Hawaii House of Representatives ,"January 3, 2013 ",2024,Honolulu[17] ,Female
Idaho ,Mike Crapo ,Republican ," (1951-05-20) May 20, 1951 (age 70) ",Lawyer ,U.S. House;Idaho Senate ,"January 3, 1999 ",2022,Idaho Falls[18] ,Male
Idaho ,Jim Risch ,Republican ," (1943-05-03) May 3, 1943 (age 78) ",Professor;Rancher;Nonprofit organization executive;Lawyer ,Governor of Idaho;Lieutenant Governor of Idaho;Idaho Senate President pro tempore ,"January 3, 2009 ",2026,Boise[18] ,Male
Illinois ,Dick Durbin ,Democratic ," (1944-11-21) November 21, 1944 (age 76) ",Lawyer;Professor ,U.S. House ,"January 3, 1997 ",2026,Springfield[19] ,Male
Illinois ,Tammy Duckworth ,Democratic ," (1968-03-12) March 12, 1968 (age 53) ","Army National Guard Officer;Coordinator, Center for Nursing Research, Northern Illinois University.[20];U.S. Assistant Secretary of Veterans Affairs;Illinois Director of Veterans Affairs ",U.S. House ,"January 3, 2017 ",2022,Hoffman Estates[19] ,Female
Indiana ,Todd Young ,Republican ," (1972-08-24) August 24, 1972 (age 48) ",Marine Corps Officer;Professor;Consultant;Lawyer ,U.S. House ,"January 3, 2017 ",2022,Greenwood[21] ,Male
Indiana ,Mike Braun ,Republican ," (1954-03-24) March 24, 1954 (age 67) ",Businessman ,"Indiana House of Representatives;Member, Jasper, Indiana School Board ","January 3, 2019 ",2024,Jasper[22] ,Male
Iowa ,Chuck Grassley ,Republican ," (1933-09-17) September 17, 1933 (age 87) ",Farmer;College professor ,U.S. House;Iowa House of Representatives ,"January 3, 1981 ",2022,New Hartford[23] ,Male
Iowa ,Joni Ernst ,Republican ," (1970-07-01) July 1, 1970 (age 50) ",Farmer;Army National Guard officer ,Iowa Senate ,"January 3, 2015 ",2026,Red Oak[23] ,Female
Kansas ,Jerry Moran ,Republican ," (1954-05-29) May 29, 1954 (age 66) ",Banker;Lawyer ,U.S. House;Kansas Senate ,"January 3, 2011 ",2022,Manhattan[24] ,Male
Kansas ,Roger Marshall ,Republican ," (1960-08-09) August 9, 1960 (age 60) ","Doctor;Captain, U.S. Army Reserve ",U.S. House ,"January 3, 2021 ",2026,Great Bend ,Male
Kentucky ,Mitch McConnell ,Republican ," (1942-02-20) February 20, 1942 (age 79) ","Lawyer;U.S. Senate staff member;Deputy Assistant United States Attorney, U.S. Department of Justice Office of Legislative Affairs ","Judge/Executive of Jefferson County, Kentucky ","January 3, 1985 ",2026,Louisville[25] ,Male
Kentucky ,Rand Paul ,Republican ," (1963-01-07) January 7, 1963 (age 58) ",Physician specializing in Ophthalmology ,None ,"January 3, 2011 ",2022,Bowling Green[25] ,Male
Louisiana ,Bill Cassidy ,Republican ," (1957-09-28) September 28, 1957 (age 63) ",Physician ,U.S. House;Louisiana Senate ,"January 3, 2015 ",2026,Baton Rouge[26] ,Male
Louisiana ,John Kennedy ,Republican ," (1951-11-21) November 21, 1951 (age 69) ",Magazine editor;Lawyer;Professor;Staff of Louisiana Governor Buddy Roemer;Secretary of the Louisiana Department of Revenue ,Louisiana Treasurer ,"January 3, 2017 ",2022,Madisonville[26] ,Male
Maine ,Susan Collins ,Republican ," (1952-12-07) December 7, 1952 (age 68) ","House staffer;Senate staffer;Regional director, Small Business Administration;Deputy Treasurer of Massachusetts ",None ,"January 3, 1997 ",2026,Bangor[27] ,Female
Maine ,Angus King ,Independent[a] ," (1944-03-31) March 31, 1944 (age 77) ",Lawyer;Senate staffer;Business founder;Corporate executive;Public television news program host ,Governor of Maine ,"January 3, 2013 ",2024,Brunswick ,Male
