"Tammy.Baldwin","John.Barrasso","Michael.Bennet","Marsha.Blackburn","Richard.Blumenthal","Roy.Blunt","Cory.Booker","John.Boozman","Mike.Braun","Sherrod..Brown","Richard.Burr","Maria.Cantwell","Shelley.Capito","Ben.Cardin","Thomas.Carper","Bob.Casey","Bill.Cassidy","Susan.Collins","Christopher.Coons","John.Cornyn","Catherine.Cortez.Masto","Tom.Cotton","Kevin.Cramer","Mike.Crapo","Ted.Cruz","Steve.Daines","Tammy.Duckworth","Richard.Durbin","Joni.Ernst","Dianne.Feinstein","Deb.Fischer","Kirsten.Gillibrand","Lindsey.Graham","Charles.Grassley","Bill.Hagerty","Maggie.Hassan","Josh.Hawley","Martin.Heinrich","John.Hickenlooper","Mazie.Hirono","John.Hoeven","Cindy.Hyde.Smith","Jim.Inhofe","Ron.Johnson","Timothy.Kaine","Mark.Kelly","John.Kennedy","Angus.King","Amy.Klobuchar","James.Lankford","Patrick.Leahy","Mike.Lee","Ben.Lujan","Cynthia.Lummis","Joseph.Manchin","Edward.Markey","Roger.Marshall","Mitch.McConnell","Robert.Menendez","Jeff.Merkley","Jerry.Moran","Lisa.Murkowski","Christopher.Murphy","Patty.Murray","Jon.Ossoff","Alex.Padilla","Rand.Paul","Gary.Peters","Rob.Portman","John.Reed","James..Risch","Mitt.Romney","Jacklyn.Rosen","Mike.Rounds","Marco.Rubio","Bernard.Sanders","Ben.Sasse","Brian.Schatz","Charles.Schumer","Rick.Scott","Tim.Scott","Jeanne.Shaheen","Richard.Shelby","Kyrsten.Sinema","Tina.Smith","Debbie.Stabenow","Dan.Sullivan","Jon.Tester","John.Thune","Thomas.Tillis","Patrick.Toomey","Tommy.Tuberville","Chris.Van.Hollen","Mark.Warner","Raphael.Warnock","Elizabeth.Warren","Sheldon.Whitehouse","Roger.Wicker","Ron.Wyden","Todd.Young"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0
0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
